datebirth,age,gender,maritalstatus,education,educationfield,department,jobrole,joblevel,totalworkingyears,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,numcompaniesworked,trainingtimeslastyear,performancerating,percentsalaryhike,monthlyincome,monthlyrate,salary,standardhours,overtime,remotework,distancefromhome,businesstravel,attrition,environmentsatisfaction,jobinvolvement,jobsatisfaction,relationshipsatisfaction,worklifebalance
1975,48,F,Unknown,2,Unknown,Other, Sales Representative ,1,19,9,7,7,2,3,3,11,2212.5,5752.5,53914.11,Full Time,Unknown,No,7,travel_frequently,Yes,4,3,3,3,3
1997,26,M,Unknown,3,Medical,Other, Laboratory Technician ,1,7,7,5,7,1,5,4,20,2141.67,5568.33,25700.0,Part Time,No,Yes,7,non-travel,No,4,3,4,3,3
1979,44,F,Unknown,3,Life Sciences,Other, Healthcare Representative ,3,9,8,6,7,1,2,3,19,8339.32,21682.23,100071.84,Part Time,Unknown,Yes,2,travel_rarely,No,3,4,4,2,3
1987,36,F,Single,4,Unknown,Other, Sales Representative ,2,17,13,6,7,3,2,3,15,3751.67,9754.33,45020.0,Part Time,Unknown,Yes,2,non-travel,No,3,3,4,3,2
1977,46,M,Single,4,Unknown, Research & Development , Healthcare Representative ,2,19,10,0,9,6,3,3,14,4492.84,11681.39,53914.11,Part Time,No,Yes,13,non-travel,No,3,3,2,4,3
1988,35,M,Married,4,Life Sciences,Other, Manufacturing Director ,2,17,7,0,7,2,3,3,16,4492.84,11681.39,53914.11,Part Time,Unknown,Yes,27,non-travel,No,4,3,3,2,3
1993,30,F,Unknown,4,Unknown,Other, Research Scientist ,1,10,9,0,7,0,2,3,16,4140.0,10764.0,49680.0,Full Time,Unknown,No,2,travel_frequently,No,4,2,1,4,3
1993,30,M,Unknown,2,Marketing,Other, Sales Executive ,3,7,7,1,7,2,2,3,11,8339.32,21682.23,100071.84,Part Time,No,Yes,15,non-travel,No,3,2,1,1,3
1990,33,F,Unknown,3,Marketing,Other, Sales Executive ,2,13,11,1,7,8,2,3,15,4289.17,11151.83,51470.0,Part Time,No,Yes,2,non-travel,No,4,3,2,4,2
1991,32,M,Single,4,Unknown,Other, Research Scientist ,1,12,7,0,7,2,3,3,14,2265.0,5889.0,27180.0,Part Time,No,Yes,5,non-travel,No,2,3,2,2,3
1980,43,M,Unknown,3,Life Sciences,Other, Human Resources ,1,10,9,1,8,0,5,3,13,2949.17,7667.83,53914.11,Full Time,No,No,2,travel_rarely,No,2,3,4,2,3
1992,31,F,Unknown,4,Marketing,Other, Sales Executive ,2,12,12,5,7,1,3,3,14,4556.67,11847.33,54680.0,Full Time,Unknown,Yes,29,travel_rarely,No,1,2,4,1,3
1988,35,M,Unknown,3,Unknown,Other, Sales Executive ,2,10,10,7,7,1,2,3,18,4844.17,12594.83,53914.11,Full Time,Unknown,No,27,non-travel,Yes,3,3,4,4,3
1988,35,M,Divorced,2,Medical, Research & Development , Manufacturing Director ,2,15,7,1,7,2,6,3,14,4492.84,11681.39,53914.11,Full Time,No,No,2,non-travel,No,2,3,4,3,3
1993,30,F,Single,3,Medical,Other, Manufacturing Director ,3,9,7,0,2,9,3,3,14,8055.83,20945.17,96670.0,Part Time,No,No,10,non-travel,No,1,3,3,2,3
1977,46,F,Married,2,Medical,Other, Healthcare Representative ,2,13,9,3,7,4,2,4,22,4492.84,11681.39,53914.11,Full Time,No,No,19,travel_rarely,Yes,4,3,2,4,4
1978,45,F,Married,4,Unknown,Other, Sales Executive ,2,10,8,5,7,4,3,4,22,5585.931999999999,11167.0,51540.0,Part Time,Unknown,No,2,non-travel,No,3,3,3,2,4
1980,43,M,Married,4,Life Sciences,Other, Sales Executive ,2,7,7,7,7,1,5,4,20,4729.17,12295.83,56750.0,Full Time,Unknown,No,2,travel_frequently,No,1,3,4,3,3
1977,46,F,Unknown,3,Life Sciences,Other, Sales Executive ,3,14,8,0,7,5,2,4,21,6095.0,15847.0,73140.0,Part Time,Unknown,Yes,10,non-travel,Yes,3,3,2,3,3
1983,40,M,Unknown,4,Unknown, Research & Development , Manager ,4,22,19,11,16,2,3,3,11,12783.92,33238.2,53914.11,Full Time,Unknown,Yes,1,travel_rarely,No,1,3,1,1,3
1996,27,F,Single,2,Unknown, Sales , Sales Executive ,2,9,8,0,7,0,5,3,14,4492.84,11681.39,53914.11,Part Time,No,No,2,travel_rarely,No,1,4,3,2,2
1981,42,M,Married,3,Medical,Other, Research Director ,3,18,13,5,7,9,3,3,13,8339.32,21682.23,53914.11,Full Time,No,Yes,6,non-travel,No,3,3,1,2,4
1997,26,M,Married,3,Other,Other, Laboratory Technician ,1,8,7,7,7,0,3,3,18,2342.59,6090.75,28111.13,Part Time,No,Yes,6,travel_frequently,No,3,4,4,1,3
1995,28,M,Married,2,Life Sciences,Other, Sales Executive ,2,7,7,0,7,1,2,3,12,3841.888,11681.39,53914.11,Part Time,Unknown,Yes,1,travel_frequently,No,3,2,4,3,3
1976,47,M,Married,4,Unknown,Other, Research Scientist ,2,16,8,1,7,8,4,3,18,4492.84,11681.39,53914.11,Part Time,Unknown,No,14,non-travel,No,3,3,2,3,4
1989,34,M,Divorced,4,Medical,Other, Sales Executive ,3,9,8,1,1,1,2,3,18,8339.32,21682.23,100071.84,Part Time,No,Yes,13,travel_rarely,No,4,3,3,3,2
1997,26,M,Single,3,Medical, Research & Development , Laboratory Technician ,1,8,7,7,6,0,6,3,13,2342.59,6090.75,28111.13,Part Time,No,Yes,1,non-travel,No,3,3,1,4,3
1996,27,M,Unknown,3,Unknown,Other, Sales Executive ,2,7,7,0,7,1,5,3,14,3658.986,11681.39,53914.11,Part Time,Unknown,No,9,travel_rarely,No,4,3,4,1,3
1992,31,M,Unknown,4,Marketing, Sales , Sales Executive ,2,10,10,0,8,1,4,3,11,4492.84,11681.39,53914.11,Part Time,Yes,Yes,26,travel_frequently,Yes,1,3,4,3,3
1990,33,M,Divorced,2,Life Sciences,Other, Healthcare Representative ,2,9,9,2,8,1,2,3,20,4492.84,11681.39,53914.11,Full Time,Unknown,Yes,7,travel_frequently,No,4,3,3,3,3
1992,31,F,Married,3,Unknown,Other, Research Director ,3,13,11,4,8,4,2,4,20,8339.32,21682.23,100071.84,Part Time,No,Yes,10,non-travel,No,3,3,3,3,4
1988,35,M,Unknown,4,Medical,Other, Research Scientist ,2,10,10,0,8,1,5,3,19,5262.136,11045.67,50980.0,Part Time,No,Yes,9,non-travel,No,2,3,3,2,3
1990,33,F,Married,2,Unknown,Other, Healthcare Representative ,2,9,9,8,1,0,6,3,13,4492.84,11681.39,53914.11,Part Time,Yes,Yes,15,travel_rarely,No,2,3,4,1,3
1984,39,M,Single,1,Life Sciences,Other, Research Scientist ,2,9,7,1,7,7,2,3,13,4492.84,11681.39,53914.11,Full Time,No,No,24,travel_rarely,No,1,3,4,1,3
1987,36,F,Married,3,Unknown,Other, Sales Executive ,3,10,9,3,4,0,2,3,19,7358.825999999999,21682.23,100071.84,Part Time,No,Yes,46,travel_rarely,No,4,2,4,3,3
1982,41,F,Married,4,Life Sciences,Other, Manufacturing Director ,4,21,20,0,10,0,3,3,23,11308.33,29401.67,135700.0,Full Time,No,Yes,28,travel_rarely,No,1,2,2,3,3
1989,34,F,Married,3,Marketing, Sales , Sales Executive ,2,8,8,1,7,1,2,4,21,4515.802,14542.67,67120.0,Full Time,No,No,28,non-travel,No,4,2,3,4,3
1985,38,F,Married,2,Unknown,Other, Sales Executive ,2,10,10,1,9,1,1,3,11,4492.84,11681.39,53914.11,Full Time,No,Yes,10,travel_rarely,No,1,3,4,3,3
1984,39,M,Unknown,1,Unknown,Other, Healthcare Representative ,3,11,7,1,7,4,5,3,15,8325.83,21647.17,99910.0,Part Time,Unknown,Yes,6,travel_rarely,No,4,2,1,1,3
1989,34,F,Single,4,Unknown,Other, Research Director ,3,12,12,2,11,0,4,3,11,6780.864,21682.23,100071.84,Part Time,No,No,7,travel_rarely,No,1,3,2,3,3
1979,44,F,Married,4,Medical,Other, Healthcare Representative ,3,24,22,5,17,3,4,3,14,8540.0,22204.0,102480.0,Full Time,Unknown,Yes,7,travel_rarely,No,1,2,4,4,3
1977,46,M,Single,4,Unknown,Other, Sales Executive ,2,14,9,0,8,4,4,3,21,4492.84,11681.39,53914.11,Part Time,Unknown,Yes,5,non-travel,No,1,3,4,3,3
1982,41,M,Divorced,3,Life Sciences, Research & Development , Manager ,4,12,7,7,7,4,2,3,13,4809.872,33238.2,153407.07,Full Time,Unknown,No,10,travel_frequently,No,4,2,1,2,2
1984,39,F,Single,4,Unknown, Research & Development , Healthcare Representative ,3,20,19,11,8,0,1,4,25,9115.0,23699.0,53914.11,Full Time,No,No,2,non-travel,No,3,3,3,4,3
1981,42,F,Divorced,3,Medical,Other, Laboratory Technician ,1,10,9,7,8,0,4,3,11,2160.83,5618.17,25930.0,Part Time,Yes,Yes,2,travel_rarely,No,4,2,1,3,3
1990,33,F,Married,4,Unknown, Research & Development , Manager ,3,12,10,8,8,6,2,3,11,9898.33,25735.67,53914.11,Full Time,Unknown,Yes,5,travel_frequently,No,4,3,2,2,3
1988,35,M,Single,4,Technical Degree,Other, Manufacturing Director ,3,17,16,0,13,0,5,3,13,6745.83,17539.17,80950.0,Part Time,No,Yes,5,travel_rarely,No,3,3,2,4,3
1990,33,M,Married,1,Medical,Other, Manager ,3,15,7,7,7,7,2,3,12,6473.332,21682.23,100071.84,Part Time,Unknown,Yes,15,travel_rarely,Yes,2,3,3,4,4
1983,40,F,Single,3,Life Sciences,Other, Manufacturing Director ,4,22,20,5,13,7,3,3,15,12120.156,33238.2,153407.07,Full Time,No,No,6,travel_rarely,No,2,3,3,3,3
1982,41,M,Divorced,4,Human Resources,Other, Manager ,5,23,21,12,6,3,2,3,15,15943.72,41453.67,191324.62,Full Time,No,No,10,travel_rarely,No,2,2,4,2,2
1996,27,F,Unknown,3,Unknown,Other, Healthcare Representative ,2,10,7,0,7,8,2,3,19,5388.802,11681.39,53914.11,Part Time,No,No,7,non-travel,No,4,2,1,1,1
1971,52,M,Unknown,4,Marketing,Other, Manager ,4,33,34,1,16,1,3,3,11,14046.67,36521.33,168560.0,Full Time,Unknown,Yes,3,travel_rarely,No,3,2,1,1,4
1972,51,F,Married,4,Marketing,Other, Manager ,4,22,20,4,17,2,2,3,14,12783.92,33238.2,153407.07,Full Time,No,No,26,travel_rarely,No,1,3,3,3,2
1976,47,F,Unknown,2,Marketing,Other, Sales Executive ,2,8,7,7,7,0,2,4,22,3780.83,9830.17,45370.0,Part Time,Unknown,Yes,2,travel_rarely,No,3,3,4,1,3
1973,50,M,Divorced,4,Unknown, Research & Development , Manager ,4,31,31,14,7,1,3,3,11,14461.322,38835.33,179240.0,Full Time,Unknown,No,2,non-travel,No,1,3,1,4,3
1988,35,F,Married,1,Life Sciences, Research & Development , Healthcare Representative ,2,10,10,0,7,1,2,4,25,3345.0,8697.0,40140.0,Part Time,Unknown,Yes,21,travel_rarely,No,4,3,4,4,1
1984,39,F,Married,1,Unknown,Other, Manufacturing Director ,4,21,21,11,8,1,3,3,16,10618.33,27607.67,127420.0,Full Time,No,Yes,1,travel_rarely,No,4,2,4,3,3
1984,39,F,Single,3,Medical,Other, Manufacturing Director ,3,21,21,2,8,1,2,3,13,8339.32,21682.23,100071.84,Part Time,Unknown,No,22,travel_frequently,No,4,3,1,3,3
1982,41,F,Unknown,2,Unknown,Other, Research Scientist ,1,10,10,0,8,1,3,3,13,3679.668,7314.67,33760.0,Full Time,No,No,7,non-travel,No,2,4,3,3,3
1979,44,M,Married,2,Medical, Human Resources , Human Resources ,3,24,20,3,6,9,1,3,14,8735.0,22711.0,104820.0,Full Time,No,Yes,1,non-travel,Yes,2,2,1,4,3
1981,42,M,Unknown,2,Medical,Other, Manager ,4,23,22,13,7,0,3,3,17,12783.92,33238.2,53914.11,Full Time,No,No,2,non-travel,No,4,3,1,4,3
1971,52,M,Single,4,Life Sciences,Other, Healthcare Representative ,3,18,8,4,0,7,4,3,19,6641.764000000001,21682.23,100071.84,Part Time,Unknown,Yes,7,travel_rarely,No,2,3,2,4,3
1985,38,M,Unknown,3,Unknown,Other, Human Resources ,1,7,7,5,0,1,2,3,13,2342.59,6090.75,28111.13,Part Time,No,Yes,1,non-travel,No,3,4,3,4,4
1977,46,F,Unknown,2,Life Sciences, Human Resources , Human Resources ,1,10,7,5,7,6,3,3,12,5074.636,6090.75,28111.13,Part Time,Unknown,Yes,1,non-travel,No,4,3,1,3,4
1988,35,M,Single,4,Life Sciences,Other, Research Scientist ,2,10,9,1,1,1,3,3,11,3540.83,9206.17,42490.0,Part Time,Unknown,No,4,non-travel,No,3,3,3,2,3
1995,28,M,Married,1,Life Sciences, Research & Development , Manufacturing Director ,2,8,8,1,7,1,2,3,14,5457.5,14189.5,53914.11,Full Time,Unknown,Yes,29,travel_rarely,No,3,1,2,2,2
1979,44,M,Married,3,Life Sciences,Other, Research Director ,4,22,20,14,17,3,1,3,13,12783.92,33238.2,53914.11,Full Time,No,Yes,28,non-travel,No,4,3,1,3,4
1973,50,M,Unknown,5,Unknown,Other, Research Director ,4,33,32,13,9,1,2,3,13,12009.17,31223.83,53914.11,Full Time,Unknown,No,22,non-travel,No,3,1,4,4,3
1968,55,M,Unknown,5,Marketing,Other, Manager ,5,36,36,2,13,1,3,4,21,14643.832,42436.33,195860.0,Full Time,No,Yes,23,travel_rarely,No,3,2,4,3,3
1984,39,M,Married,3,Unknown, Sales , Sales Executive ,3,11,7,7,6,2,3,3,11,6864.17,17846.83,82370.0,Part Time,No,Yes,6,non-travel,No,4,4,3,1,3
1974,49,F,Unknown,4,Unknown, Research & Development , Laboratory Technician ,1,10,9,1,4,1,3,3,14,2675.83,6957.17,53914.11,Full Time,Unknown,Yes,13,non-travel,No,1,3,1,4,2
1978,45,F,Single,2,Technical Degree,Other, Research Director ,4,21,21,8,6,1,2,3,11,13920.0,36192.0,53914.11,Full Time,Unknown,No,28,non-travel,No,4,2,2,3,3
1977,46,M,Unknown,3,Unknown,Other, Sales Executive ,3,16,10,0,3,4,5,3,12,8339.32,21682.23,100071.84,Part Time,Unknown,No,2,non-travel,No,3,3,4,2,2
1996,27,F,Married,3,Unknown,Other, Research Scientist ,1,8,7,7,3,0,2,3,19,2703.1220000000003,10343.67,47740.0,Full Time,No,No,15,non-travel,No,4,2,1,4,3
1981,42,M,Married,3,Unknown,Other, Manager ,5,24,22,4,14,5,2,3,11,15943.72,41453.67,53914.11,Full Time,Unknown,Yes,2,travel_rarely,No,1,3,3,1,2
1974,49,M,Married,3,Unknown, Sales , Sales Executive ,2,17,9,0,8,2,3,3,14,4832.086,11681.39,53914.11,Part Time,Unknown,Yes,2,non-travel,No,4,2,2,4,2
1994,29,F,Single,2,Life Sciences,Other, Laboratory Technician ,2,10,9,0,8,0,3,3,12,3416.97,11681.39,53914.11,Part Time,Yes,Yes,15,travel_rarely,No,4,2,3,4,3
1989,34,M,Unknown,4,Marketing,Other, Sales Executive ,2,9,9,8,7,0,2,4,20,3806.67,9897.33,45680.0,Part Time,No,No,12,non-travel,No,1,3,3,3,3
1986,37,M,Divorced,4,Unknown,Other, Manufacturing Director ,2,7,7,0,7,1,2,3,18,4994.17,12984.83,59930.0,Full Time,No,No,1,non-travel,No,1,2,3,3,3
1987,36,M,Single,3,Unknown,Other, Manufacturing Director ,2,6,6,0,3,1,3,3,13,5415.83,14081.17,64990.0,Full Time,No,Yes,11,non-travel,No,2,2,2,3,3
1978,45,M,Single,3,Unknown,Other, Research Scientist ,1,9,6,0,3,5,2,3,13,3568.506,7479.33,34520.0,Full Time,Unknown,Yes,29,non-travel,No,3,3,4,2,2
1994,29,M,Unknown,3,Unknown,Other, Research Scientist ,1,6,6,1,5,1,1,3,19,2966.9880000000003,6090.75,28111.13,Part Time,No,No,15,travel_rarely,No,3,3,4,1,3
1997,26,F,Unknown,3,Unknown,Other, Manufacturing Director ,2,6,6,1,4,1,6,4,20,5330.83,13860.17,63970.0,Full Time,No,No,1,non-travel,No,3,3,2,1,1
1995,28,M,Single,4,Life Sciences,Other, Sales Executive ,2,7,7,0,7,1,1,3,16,3402.036,11681.39,53914.11,Part Time,No,Yes,9,non-travel,No,2,3,4,4,3
1981,42,F,Married,4,Technical Degree,Other, Healthcare Representative ,2,7,6,0,4,0,4,3,11,2566.868,11681.39,53914.11,Full Time,No,Yes,30,travel_frequently,No,4,2,4,4,4
1992,31,M,Unknown,1,Life Sciences, Sales , Sales Executive ,2,10,6,0,5,4,2,3,13,3940.704,11681.39,53914.11,Part Time,Yes,Yes,2,travel_rarely,No,2,3,4,3,4
1986,37,F,Single,3,Unknown,Other, Manufacturing Director ,3,11,6,1,2,4,3,3,17,8339.32,21682.23,100071.84,Part Time,Unknown,Yes,47,travel_rarely,No,4,3,4,4,4
1986,37,M,Divorced,4,Unknown,Other, Sales Executive ,3,9,9,7,7,1,6,3,13,5426.531999999999,21682.23,100071.84,Part Time,No,No,9,non-travel,No,1,3,2,4,3
1986,37,F,Married,4,Life Sciences,Other, Manufacturing Director ,2,8,6,4,3,6,2,3,12,4492.84,11681.39,53914.11,Part Time,Unknown,No,1,travel_rarely,No,2,3,2,2,2
1999,24,M,Unknown,3,Medical,Other, Research Scientist ,1,6,6,1,4,1,3,3,11,3128.936,5904.17,27250.0,Part Time,Unknown,Yes,23,travel_rarely,No,2,4,4,2,3
1973,50,M,Married,3,Unknown,Other, Manager ,5,33,32,10,7,1,2,3,11,15943.72,41453.67,53914.11,Full Time,No,No,3,non-travel,No,1,3,2,3,3
1989,34,M,Unknown,2,Life Sciences,Other, Research Scientist ,1,6,6,1,3,1,3,3,13,3018.33,7847.67,36220.0,Full Time,Yes,Yes,1,non-travel,No,2,2,4,4,3
1996,27,F,Unknown,1,Medical,Other, Sales Executive ,2,6,6,0,4,1,3,3,20,2932.2380000000003,11681.39,53914.11,Full Time,Unknown,No,3,travel_frequently,No,4,4,4,2,3
1998,25,F,Single,1,Unknown, Sales , Sales Executive ,2,6,6,1,4,1,5,4,23,3280.682,13390.0,61800.0,Full Time,No,No,42,non-travel,No,4,3,4,2,2
1989,34,M,Single,3,Other, Sales , Sales Executive ,2,6,6,1,4,1,5,4,22,5228.33,13593.67,62740.0,Full Time,No,Yes,25,non-travel,No,4,3,4,3,3
1989,34,F,Unknown,4,Unknown, Research & Development , Research Scientist ,1,6,6,1,3,1,3,3,11,3490.184,9492.17,43810.0,Full Time,Unknown,Yes,2,non-travel,No,3,2,1,3,3
1988,35,M,Single,3,Other,Other, Manufacturing Director ,3,17,8,1,6,3,3,4,21,8339.32,21682.23,53914.11,Full Time,No,No,7,non-travel,No,3,3,3,2,4
1988,35,F,Unknown,1,Medical,Other, Research Scientist ,1,6,6,1,1,1,3,3,11,4592.036,5544.5,25590.0,Part Time,Unknown,No,16,non-travel,No,1,2,1,4,2
1990,33,F,Married,4,Unknown, Research & Development , Healthcare Representative ,2,6,6,1,2,1,2,3,13,4573.33,11890.67,54880.0,Full Time,Yes,Yes,1,non-travel,No,3,4,2,1,3
1994,29,F,Divorced,4,Life Sciences,Other, Research Scientist ,1,11,7,1,7,4,1,4,22,2095.0,5447.0,25140.0,Part Time,No,No,28,non-travel,No,3,3,4,1,3
1994,29,F,Divorced,3,Unknown, Research & Development , Research Scientist ,1,8,7,1,1,0,2,3,14,2342.59,6090.75,28111.13,Part Time,No,Yes,10,travel_frequently,No,4,3,2,4,2
1989,34,F,Married,1,Life Sciences,Other, Sales Executive ,2,6,6,1,3,1,3,4,20,4492.84,11681.39,53914.11,Part Time,Unknown,No,9,non-travel,No,2,3,3,1,2
1995,28,M,Married,4,Medical,Other, Laboratory Technician ,1,6,6,3,3,1,2,3,12,2663.33,6924.67,31960.0,Full Time,Unknown,No,19,travel_rarely,No,4,2,1,3,3
1979,44,F,Married,1,Life Sciences,Other, Research Scientist ,1,10,10,7,7,1,5,3,13,4365.683999999999,6090.75,28111.13,Part Time,Unknown,No,2,non-travel,No,1,4,4,4,3
1992,31,M,Married,2,Unknown, Research & Development , Healthcare Representative ,2,6,6,0,1,1,2,3,12,4492.84,11681.39,53914.11,Part Time,Yes,No,11,travel_rarely,No,3,3,1,4,2
1997,26,M,Unknown,2,Life Sciences, Research & Development , Research Scientist ,1,8,8,2,2,1,2,4,20,2342.59,6090.75,28111.13,Part Time,Yes,No,4,non-travel,No,3,3,4,2,2
1976,47,M,Unknown,3,Unknown,Other, Research Scientist ,1,17,6,1,2,7,2,3,12,2850.0,7410.0,34200.0,Full Time,No,Yes,1,travel_rarely,No,1,3,4,3,2
1986,37,M,Single,2,Unknown, Research & Development , Laboratory Technician ,1,7,6,1,3,0,2,3,14,2342.59,6090.75,28111.13,Part Time,No,No,5,non-travel,No,3,4,3,1,1
1991,32,M,Married,4,Unknown,Other, Research Scientist ,2,9,6,1,2,4,3,3,14,3405.83,8855.17,53914.11,Full Time,Unknown,Yes,1,non-travel,No,4,3,1,2,2
1991,32,M,Divorced,3,Medical,Other, Research Scientist ,2,10,9,1,6,0,4,3,13,4492.84,11681.39,53914.11,Part Time,No,Yes,2,non-travel,No,4,3,2,3,2
1990,33,F,Unknown,3,Life Sciences,Other, Sales Executive ,2,7,6,1,2,1,2,4,25,4674.968,11630.67,53680.0,Part Time,Yes,No,16,non-travel,No,3,3,4,3,3
1976,47,M,Married,3,Unknown, Sales , Sales Executive ,4,25,23,14,10,7,3,3,11,9978.846,28028.0,129360.0,Full Time,No,Yes,9,non-travel,Yes,3,1,3,3,1
1982,41,F,Unknown,2,Unknown,Other, Sales Executive ,2,8,6,0,5,8,0,3,11,4492.84,11681.39,53914.11,Part Time,Yes,No,1,non-travel,Yes,2,3,4,1,1
1988,35,M,Married,3,Medical, Research & Development , Laboratory Technician ,1,6,5,0,3,0,5,3,13,2783.222,6090.75,28111.13,Part Time,Unknown,No,16,travel_rarely,No,1,4,2,3,3
1994,29,M,Married,3,Life Sciences,Other, Research Scientist ,1,6,5,0,4,0,3,4,23,2342.59,6090.75,28111.13,Part Time,No,No,2,travel_rarely,No,3,3,2,4,3
1991,32,M,Unknown,3,Life Sciences,Other, Research Scientist ,2,10,10,0,9,1,3,3,17,4492.84,11681.39,53914.11,Part Time,No,Yes,1,travel_rarely,No,2,3,2,2,3
1988,35,M,Single,3,Medical,Other, Research Scientist ,1,6,6,0,4,1,3,3,18,2342.59,6090.75,28111.13,Part Time,No,No,1,travel_rarely,No,2,2,3,1,3
1967,56,M,Unknown,3,Unknown,Other, Manufacturing Director ,3,37,6,0,2,4,3,3,11,8339.32,21682.23,53914.11,Full Time,No,Yes,13,non-travel,No,4,1,4,1,2
1995,28,M,Unknown,3,Medical,Other, Sales Executive ,2,5,5,0,4,1,3,3,15,3091.5060000000003,9145.5,42210.0,Part Time,Unknown,Yes,4,non-travel,No,2,3,3,2,4
1998,25,M,Single,3,Unknown,Other, Sales Executive ,2,6,6,0,3,1,1,3,11,4492.84,11681.39,53914.11,Full Time,Yes,Yes,5,travel_rarely,Yes,3,2,3,4,3
1967,56,F,Unknown,4,Life Sciences,Other, Research Scientist ,1,7,5,4,3,9,2,3,18,2684.704,10753.17,49630.0,Full Time,Unknown,Yes,14,non-travel,Yes,2,3,2,1,3
1997,26,F,Married,3,Unknown, Research & Development , Research Scientist ,1,5,5,4,3,1,3,3,19,2814.184,6090.75,28111.13,Part Time,Unknown,No,6,non-travel,No,3,2,2,3,2
1991,32,F,Unknown,3,Medical,Other, Laboratory Technician ,1,8,5,0,4,7,2,4,22,3500.0,9100.0,53914.11,Full Time,No,No,9,non-travel,Yes,1,3,1,1,4
1993,30,F,Single,3,Life Sciences,Other, Research Scientist ,1,7,5,0,4,1,4,3,14,2342.59,6090.75,28111.13,Part Time,No,Yes,18,travel_rarely,No,1,3,3,3,2
1973,50,F,Unknown,3,Unknown,Other, Manager ,5,17,5,4,4,3,5,3,15,15943.72,41453.67,53914.11,Full Time,Unknown,No,11,travel_rarely,No,3,3,2,2,3
1991,32,M,Unknown,5,Life Sciences,Other, Research Scientist ,1,8,5,1,4,3,2,4,20,2342.59,6090.75,28111.13,Part Time,No,No,6,non-travel,No,3,3,3,1,3
1978,45,F,Unknown,2,Unknown,Other, Sales Executive ,2,9,5,0,3,4,3,3,11,4171.67,10846.33,53914.11,Full Time,Unknown,No,4,travel_rarely,No,3,3,1,1,4
1980,43,M,Divorced,3,Unknown,Other, Research Scientist ,1,7,5,2,2,4,3,3,14,2342.59,6090.75,28111.13,Part Time,No,Yes,7,non-travel,No,4,4,4,4,4
1994,29,F,Married,3,Marketing,Other, Sales Executive ,3,10,10,1,9,1,3,4,22,6584.7660000000005,16551.17,76390.0,Part Time,Unknown,Yes,27,non-travel,Yes,2,3,4,4,2
1992,31,M,Unknown,4,Medical, Research & Development , Manufacturing Director ,2,6,5,1,4,0,2,3,12,3189.154,11681.39,53914.11,Part Time,Unknown,Yes,1,non-travel,No,3,1,3,4,3
1990,33,M,Married,3,Unknown,Other, Laboratory Technician ,1,8,5,0,4,5,2,3,13,2342.59,6090.75,53914.11,Full Time,Yes,No,14,non-travel,Yes,3,3,4,3,1
1992,31,M,Unknown,2,Unknown,Other, Laboratory Technician ,1,6,5,1,4,0,2,3,11,2342.59,6090.75,28111.13,Part Time,No,Yes,29,non-travel,Yes,3,2,2,2,4
1986,37,M,Unknown,4,Unknown,Other, Sales Executive ,2,12,5,0,1,4,5,3,14,5418.33,14087.67,53914.11,Full Time,No,Yes,6,non-travel,No,3,3,4,2,4
1973,50,M,Divorced,1,Unknown, Research & Development , Research Director ,5,28,10,1,6,3,4,3,14,15943.72,41453.67,53914.11,Full Time,No,No,4,non-travel,No,1,3,2,1,2
1981,42,F,Married,3,Unknown,Other, Sales Executive ,4,22,20,4,8,5,2,3,14,11718.412,29304.17,135250.0,Full Time,Unknown,Yes,26,travel_frequently,No,3,3,2,4,3
1996,27,M,Unknown,3,Unknown,Other, Sales Executive ,2,5,5,0,4,1,3,3,11,4492.84,11681.39,53914.11,Full Time,Yes,Yes,2,non-travel,No,4,3,3,1,3
1996,27,M,Unknown,1,Marketing,Other, Sales Executive ,2,6,5,1,4,0,0,3,13,5290.83,13756.17,53914.11,Full Time,Yes,Yes,1,non-travel,No,3,3,2,4,3
1982,41,M,Single,3,Unknown,Other, Manufacturing Director ,2,11,5,1,2,6,3,3,15,4492.84,11681.39,53914.11,Part Time,Yes,Yes,6,travel_rarely,No,4,2,2,4,3
1986,37,F,Unknown,3,Medical,Other, Laboratory Technician ,1,11,5,0,3,6,3,4,20,2342.59,6090.75,28111.13,Part Time,No,Yes,10,travel_rarely,No,3,3,1,2,3
1983,40,M,Unknown,2,Unknown,Other, Sales Executive ,2,8,6,1,0,2,6,3,12,3873.586,13823.33,63800.0,Full Time,Yes,Yes,22,non-travel,Yes,2,2,3,1,3
1968,55,F,Single,3,Unknown,Other, Manager ,4,17,5,1,2,2,2,3,13,12783.92,33238.2,153407.07,Full Time,Yes,No,2,non-travel,No,3,3,4,3,3
1997,26,M,Unknown,1,Unknown,Other, Research Scientist ,1,7,6,0,4,0,2,4,22,2631.2200000000003,6721.0,31020.0,Full Time,Unknown,Yes,3,travel_frequently,Yes,3,3,1,3,3
1983,40,F,Divorced,2,Marketing,Other, Sales Executive ,2,11,5,1,3,7,5,3,12,4492.84,11681.39,53914.11,Part Time,Unknown,Yes,2,travel_rarely,No,4,3,2,3,3
1998,25,F,Single,2,Unknown, Sales , Sales Executive ,2,5,5,1,3,1,3,3,11,3872.136,11681.39,53914.11,Part Time,Yes,No,4,non-travel,No,2,2,4,2,3
1993,30,F,Single,3,Unknown,Other, Sales Executive ,2,6,5,4,4,0,6,3,11,2183.368,11681.39,53914.11,Part Time,No,Yes,12,non-travel,No,2,3,3,2,3
